TABLE_NAME,STATE_CODE,DISTRICT_CODE,TOWN_CODE,AREA_NAME,MOTHER_TONGUE_CODE,MOTHER_TONGUE_NAME,TOTAL_P,TOTAL_M,TOTAL_F,RURAL_P,RURAL_M, RURAL_F,URBAN_P,URBAN_M, URBAN_F
C0116,28,000,000000,ANDHRA PRADESH,012000,12 MANIPURI ,1115,533,582,0,0,0,1115,533,582
C0116,28,000,000000,ANDHRA PRADESH,012003, Manipuri,1115,533,582,0,0,0,1115,533,582
C0116,28,000,000000,ANDHRA PRADESH,013000,13 MARATHI ,240402,122791,117611,0,0,0,240402,122791,117611
C0116,28,000,000000,ANDHRA PRADESH,013004, Are,83,44,39,0,0,0,83,44,39
C0116,28,000,000000,ANDHRA PRADESH,013060, Koli,5,2,3,0,0,0,5,2,3
C0116,28,000,000000,ANDHRA PRADESH,013071, Marathi,239688,122434,117254,0,0,0,239688,122434,117254
C0116,28,000,000000,ANDHRA PRADESH,013999,13 Others,626,311,315,0,0,0,626,311,315
C0116,28,000,000000,ANDHRA PRADESH,014000,14 NEPALI ,9066,5198,3868,0,0,0,9066,5198,3868
C0116,28,000,000000,ANDHRA PRADESH,014011, Nepali,9064,5198,3866,0,0,0,9064,5198,3866
C0116,28,000,000000,ANDHRA PRADESH,014999,14 Others,2,0,2,0,0,0,2,0,2
C0116,28,000,000000,ANDHRA PRADESH,015000,15 ODIA ,97839,52104,45735,0,0,0,97839,52104,45735
C0116,28,000,000000,ANDHRA PRADESH,015006, Bhatri,12,7,5,0,0,0,12,7,5
C0116,28,000,000000,ANDHRA PRADESH,015043, Odia,88308,47475,40833,0,0,0,88308,47475,40833
C0116,28,000,000000,ANDHRA PRADESH,015055, Relli,7802,3803,3999,0,0,0,7802,3803,3999
C0116,28,000,000000,ANDHRA PRADESH,015999,15 Others,1717,819,898,0,0,0,1717,819,898
C0116,28,000,000000,ANDHRA PRADESH,016000,16 PUNJABI ,22512,11895,10617,0,0,0,22512,11895,10617
C0116,28,000,000000,ANDHRA PRADESH,016002, Bagri,7,3,4,0,0,0,7,3,4
C0116,28,000,000000,ANDHRA PRADESH,016038, Punjabi,22503,11891,10612,0,0,0,22503,11891,10612
C0116,28,000,000000,ANDHRA PRADESH,016999,16 Others,2,1,1,0,0,0,2,1,1
C0116,28,000,000000,ANDHRA PRADESH,017000,17 SANSKRIT ,434,244,190,0,0,0,434,244,190
C0116,28,000,000000,ANDHRA PRADESH,017002, Sanskrit,434,244,190,0,0,0,434,244,190
C0116,28,000,000000,ANDHRA PRADESH,018000,18 SANTALI ,194,99,95,0,0,0,194,99,95
C0116,28,000,000000,ANDHRA PRADESH,018011, Mahili,1,1,0,0,0,0,1,1,0
C0116,28,000,000000,ANDHRA PRADESH,018040, Santali,187,94,93,0,0,0,187,94,93
C0116,28,000,000000,ANDHRA PRADESH,018999,18 Others,6,4,2,0,0,0,6,4,2
C0116,28,000,000000,ANDHRA PRADESH,019000,19 SINDHI,11111,5555,5556,0,0,0,11111,5555,5556
C0116,28,000,000000,ANDHRA PRADESH,019008, Kachchhi,954,459,495,0,0,0,954,459,495
C0116,28,000,000000,ANDHRA PRADESH,019014, Sindhi,10151,5093,5058,0,0,0,10151,5093,5058
C0116,28,000,000000,ANDHRA PRADESH,019999,19 Others,6,3,3,0,0,0,6,3,3
C0116,28,000,000000,ANDHRA PRADESH,020000,20 TAMIL ,325660,163729,161931,0,0,0,325660,163729,161931
C0116,28,000,000000,ANDHRA PRADESH,020006, Irula/Irular Mozhi,1,1,0,0,0,0,1,1,0
C0116,28,000,000000,ANDHRA PRADESH,020009, Kaikadi,21,11,10,0,0,0,21,11,10
C0116,28,000,000000,ANDHRA PRADESH,020015, Korava,10,5,5,0,0,0,10,5,5
C0116,28,000,000000,ANDHRA PRADESH,020027, Tamil,307087,154499,152588,0,0,0,307087,154499,152588
C0116,28,000,000000,ANDHRA PRADESH,020029, Yerukala/Yerukula,18145,9010,9135,0,0,0,18145,9010,9135
C0116,28,000,000000,ANDHRA PRADESH,020999,20 Others,396,203,193,0,0,0,396,203,193
C0116,28,000,000000,ANDHRA PRADESH,021000,21 TELUGU ,21316887,10669299,10647588,0,0,0,21316887,10669299,10647588
C0116,28,000,000000,ANDHRA PRADESH,021046, Telugu,21315555,10668613,10646942,0,0,0,21315555,10668613,10646942
C0116,28,000,000000,ANDHRA PRADESH,021048, Vadari,128,66,62,0,0,0,128,66,62
